Country,% of Population with a Netflix Subscription,# of Netflix Subscribers,Population
Norway,36.59,1968164,5379480
New Zealand,25.8,1311696,5084300
Australia,24.94,6405917,25687040
United States of America,20.42,67278433,329484120
United Kingdom,18.97,12752006,67215290
Canada,17.55,6670163,38005240
Sweden,16.59,1718057,10353440
Switzerland,16.59,1432631,8636900
Netherlands,15.81,2757700,17441140
Denmark,15.79,920811,5831400
Belgium,14.22,1643629,11556000
Finland,13.33,737499,5530720
Luxembourg,13.25,83754,632270
Germany,12.85,10696426,83240520
France,12.42,8367985,67391580
Argentina,11.17,5069282,45376760
Ireland,10.6,529599,4994720
Austria,10.43,930017,8917200
Spain,10.09,4775895,47351570
Brazil,8.57,18221334,212559410
Singapore,8.15,463617,5685810
Republic of Korea,8.03,4156632,51780580
Portugal,6.74,694248,10305560
Mexico,6.47,8346371,128932750
Italy,6.19,3688379,59554020
Costa Rica,5.85,297777,5094110
Malta,5.74,30174,525280
Colombia,5.37,2731350,50882880
Lithuania,4.95,138416,2794700
Chile,4.95,946242,19116210
Greece,4.83,517896,10715550
Poland,4.58,1738304,37950800
Slovenia,4.41,92599,2100130
United Arab Emirates,4.32,427186,9890400
Czech Republic,4.27,456795,10698900
Japan,4.13,5192000,125836020
Cyprus,4.09,49338,1207360
Estonia,3.95,52607,1331060
Turkey,3.66,3089928,84339070
Slovak Republic,3.48,189950,5458830
Hungary,3.48,339047,9749760
Latvia,2.99,56859,1901550
Croatia,2.85,115272,4047200
Bulgaria,2.48,172080,6927290
Romania,2.41,465299,19286120
South Africa,0.59,349977,59308690
India,0.36,5031713,1380004390
Vietnam,0.34,328155,97338580
Indonesia,0.32,882640,273523620
Russia,0.13,185396,144104080
